anime_id,genres
106,Drama
35320,Fantasy
10779,Hentai
15613,Action
32843,Action
41456,Action
19021,Comedy
33581,Action
19285,Action
33899,Drama
1824,Drama
34494,Comedy
441,Avant Garde
37959,Comedy
20815,Boys Love
2175,Adventure
8857,Comedy
40685,Slice of Life
34428,Action
31374,Comedy
48556,Action
34161,Action
25157,Action
76,Action
6768,Action
9834,Comedy
8460,Action
209,Action
39469,Action
31289,Action
36702,Action
15699,Comedy
165,Action
31297,Action
15687,Comedy
31952,Comedy
3342,Action
35789,Sports
1096,Drama
3958,Comedy
9047,Action
33929,Action
41353,Action
539,Action
46,Drama
14735,Adventure
10711,Comedy
22125,Comedy
22429,Hentai
44248,Comedy
330,Comedy
4752,Drama
7662,Horror
7769,Comedy
31245,Romance
4985,Action
11266,Fantasy
482,Action
1092,Action
37441,Action
19669,Sports
1565,Action
1723,Drama
31326,Comedy
15195,Comedy
2847,Action
40507,Action
3515,Action
569,Comedy
42282,Comedy
3848,Action
20509,Action
27899,Action
48171,Supernatural
10298,Comedy
16273,Comedy
40879,Slice of Life
3420,Drama
37936,Action
40870,Action
37986,Action
5356,Action
14753,Romance
7222,Action
3604,Comedy
3974,Action
5525,Action
2150,Adventure
19613,Action
36936,Adventure
38002,Comedy
48760,Action
36962,Drama
24455,Adventure
33280,Comedy
710,Comedy
18523,Action
13333,Slice of Life
10805,Comedy
7044,Comedy
3655,Action
1974,Drama
5310,Action
33082,Action
31665,Drama
696,Comedy
40530,Drama
34514,Action
42826,Fantasy
36371,Drama
34021,Action
35946,Action
14941,Sci-Fi
9441,Gourmet
167,Adventure
2116,Action
1614,Action
35067,Comedy
156,Action
28621,Mystery
34277,Comedy
6512,Comedy
855,Drama
36480,Action
6046,Action
18277,Action
24231,Action
11359,Action
442,Action
35798,Action
37341,Slice of Life
15911,Comedy
15751,Action
34102,Mystery
36652,Adventure
36094,Fantasy
168,Action
24135,Comedy
42745,Comedy
1007,Comedy
30311,Comedy
33513,Action
23673,Comedy
36370,Drama
61,Action
38480,Fantasy
35078,Comedy
33190,Drama
7902,Comedy
253,Comedy
34712,Drama
32915,Action
1004,Drama
290,Action
16732,Comedy
304,Comedy
36369,Drama
15199,Action
6572,Action
2216,Action
17535,Fantasy
40082,Action
142,Action
34547,Adventure
37765,Action
48414,Action
26023,Comedy
10153,Action
17187,Sci-Fi
7062,Comedy
13391,Action
27829,Action
37958,Comedy
129,Action
589,Action
15793,Action
435,Adventure
25159,Comedy
9379,Comedy
38770,Action
23441,Boys Love
48471,Sci-Fi
8100,Action
4884,Adventure
40853,Comedy
1293,Action
37996,Comedy
14669,Drama
12187,Comedy
3358,Comedy
376,Drama
1212,Action
41006,Horror
7411,Hentai
95,Action
23701,Comedy
8768,Romance
30205,Sports
35249,Sports
5029,Action
3225,Comedy
1240,Drama
19191,Sci-Fi
345,Drama
37027,Slice of Life
181,Action
21863,Comedy
6030,Action
1557,Action
30714,Comedy
18295,Action
35847,Action
36317,Comedy
36616,Action
31552,Action
189,Comedy
10717,Action
4063,Action
3613,Action
2112,Sports
2986,Comedy
9751,Action
21681,Comedy
565,Action
18849,Drama
32871,Comedy
1471,Action
41103,Comedy
644,Comedy
35658,Comedy
198,Action
6624,Action
31722,Action
49200,Drama
22839,Slice of Life
16241,Comedy
3466,Adventure
13587,Adventure
10464,Comedy
32887,Action
33221,Action
407,Comedy
44069,Adventure
4080,Adventure
16395,Comedy
22763,Drama
24921,Action
1303,Action
11531,Mystery
1852,Comedy
33032,Action
30307,Comedy
3467,Comedy
31500,Action
36934,Action
16774,Action
23293,Action
851,Comedy
8915,Action
4886,Adventure
17121,Drama
8769,Comedy
1132,Action
16742,Comedy
21561,Adventure
34430,Action
2035,Drama
17247,Action
48590,Comedy
36475,Action
34284,Drama
408,Action
147,Drama
31737,Comedy
3455,Comedy
32869,Sports
40532,Comedy
2926,Drama
38086,Action
6438,Adventure
40974,Adventure
23383,Comedy
34541,Adventure
2107,Action
5764,Comedy
35333,Action
1815,Action
191,Comedy
6381,Action
27525,Action
1065,Drama
21603,Comedy
12231,Action
2171,Adventure
38917,Comedy
389,Action
2927,Drama
601,Avant Garde
38476,Slice of Life
6288,Action
540,Action
10715,Action
1095,Drama
34445,Drama
396,Action
33241,Romance
6172,Adventure
42603,Action
25345,Fantasy
34104,Action
13055,Comedy
1564,Action
20457,Comedy
39392,Hentai
36884,Comedy
194,Adventure
37029,Comedy
1251,Adventure
397,Action
821,Action
1250,Adventure
41226,Comedy
6954,Mystery
37962,Drama
4551,Adventure
7059,Action
41468,Action
40746,Hentai
195,Drama
272,Action
1888,Comedy
218,Action
30901,Action
5150,Comedy
3371,Action
44203,Action
41261,Hentai
11239,Comedy
469,Comedy
34176,Action
12017,Action
35145,Fantasy
22865,Comedy
4772,Comedy
9938,Slice of Life
94,Action
30321,Action
18465,Comedy
17269,Action
7,Action
30206,Comedy
770,Drama
38777,Fantasy
34300,Action
908,Comedy
190,Comedy
18041,Action
7645,Action
586,Fantasy
29893,Fantasy
17505,Action
32899,Comedy
12149,Sci-Fi
40841,Fantasy
39806,Action
37396,Drama
256,Drama
5251,Action
40513,Comedy
39463,Action
49236,Action
6904,Action
16668,Action
16444,Fantasy
1425,Action
13115,Action
6408,Drama
10716,Action
334,Comedy
39324,Fantasy
490,Comedy
8424,Comedy
48997,Adventure
935,Action
48675,Comedy
32494,Sports
1120,Adventure
39592,Action
8726,Comedy
16201,Drama
762,Action
35994,Adventure
4596,Action
4015,Comedy
6574,Comedy
14749,Comedy
6024,Comedy
28387,Comedy
32175,Comedy
39730,Comedy
79,Comedy
1118,Action
15201,Action
3931,Action
50160,Action
37873,Comedy
16694,Comedy
16035,Action
32836,Action
13659,Comedy
12711,Comedy
384,Action
1520,Drama
8190,Comedy
10075,Action
30413,Sports
32870,Sports
24031,Comedy
10638,Comedy
1722,Comedy
34745,Adventure
32792,Action
238,Action
21573,Action
390,Drama
36522,Action
49776,Slice of Life
25389,Action
14829,Action
1589,Drama
5593,Action
1729,Drama
18393,Action
21085,Action
20977,Comedy
37150,Action
11785,Comedy
1681,Action
845,Adventure
34126,Action
38528,Action
30991,Comedy
22433,Action
10714,Action
15109,Action
42894,Drama
9745,Action
1563,Adventure
444,Drama
50185,Sports
39292,Action
37975,Comedy
12293,Comedy
4581,Action
43683,Comedy
43470,Comedy
246,Adventure
5252,Action
1913,Action
10259,Adventure
40128,Drama
242,Comedy
8197,Sci-Fi
2724,Action
4896,Horror
207,Action
4811,Comedy
3457,Drama
5034,Action
1695,Drama
31418,Action
44235,Comedy
2829,Adventure
37210,Comedy
8532,Comedy
39495,Supernatural
8934,Action
48406,Sports
24365,Comedy
38333,Comedy
34299,Action
32245,Action
3090,Comedy
26441,Comedy
33519,Action
9204,Action
13585,Drama
6927,Mystery
411,Action
795,Drama
6676,Action
40435,Comedy
5713,Comedy
1047,Drama
15959,Action
41361,Comedy
1965,Drama
30868,Action
