anime_id,type,episodes,source,rating,start_year,start_season,demographics
44074,ona,11,original,pg_13,2021,spring,None
17549,tv,12,Non-Original,pg_13,2013,fall,Seinen
16918,tv,11,Non-Original,pg_13,2013,summer,Shounen
33161,ova,1,Non-Original,pg_13,2016,fall,None
16664,movie,1,Non-Original,g,2013,fall,None
3783,movie,1,Non-Original,r+,2008,winter,None
186,tv,13,Non-Original,pg_13,1999,fall,Seinen
820,ova,110,Non-Original,r,1988,winter,None
10271,tv,26,Non-Original,r,2011,spring,Seinen
30123,tv,12,Non-Original,pg_13,2015,summer,Shoujo
40542,ona,6,Non-Original,pg_13,2019,fall,Shounen
2581,tv,25,original,r,2007,fall,None
21647,movie,1,original,pg_13,2014,spring,None
32902,ova,3,Non-Original,pg_13,2016,summer,Shounen
2246,tv,12,original,r,2007,summer,Seinen
4898,tv,24,Non-Original,r,2008,fall,Shounen
33926,ona,12,Non-Original,pg_13,2017,spring,None
39940,tv,12,Non-Original,pg_13,2019,fall,Shounen
486,tv,13,Non-Original,r,2003,spring,None
1818,tv,26,Non-Original,r+,2007,spring,Shounen
66,tv,26,Non-Original,pg_13,2002,spring,None
32093,tv,12,Non-Original,pg_13,2016,spring,None
38101,tv,12,Non-Original,pg_13,2019,winter,Shounen
11977,movie,1,original,pg_13,2012,fall,None
48580,tv,12,Non-Original,r,2021,summer,Shounen
28907,tv,12,Non-Original,r,2015,summer,None
38474,tv,13,Non-Original,pg_13,2021,winter,None
1887,tv,24,Non-Original,pg_13,2007,spring,None
39468,tv,14,Non-Original,pg_13,2019,fall,None
40421,movie,1,Non-Original,pg_13,2020,summer,None
38889,tv,13,Non-Original,pg_13,2019,fall,Shounen
37989,tv,12,Non-Original,r,2018,fall,Seinen
3901,special,3,Non-Original,r,2008,winter,None
5630,tv,11,original,r,2009,spring,None
38234,movie,1,Non-Original,pg_13,2019,summer,Shounen
73,tv,13,Non-Original,r,2005,summer,None
31637,tv,12,Non-Original,r,2016,winter,None
40935,tv,12,Non-Original,r,2021,winter,Shounen
552,tv,54,Non-Original,pg,1999,spring,Kids
18689,tv,75,Non-Original,pg_13,2013,fall,Shounen
416,movie,1,Non-Original,g,1992,summer,None
3702,ova,12,Non-Original,r,2008,summer,Seinen
40716,tv,12,Non-Original,pg_13,2020,spring,Shounen
8129,tv,11,Non-Original,pg_13,2010,fall,Josei
1530,tv,24,Non-Original,pg_13,2006,fall,None
22043,tv,102,Non-Original,pg_13,2014,spring,Shounen
19363,tv,11,Non-Original,pg_13,2014,winter,Shounen
23623,tv,12,Non-Original,pg_13,2015,summer,Seinen
41402,tv,21,Non-Original,pg_13,2021,spring,Shounen
23317,ova,2,Non-Original,r,2015,winter,Shounen
40815,tv,12,Non-Original,pg_13,2020,spring,None
7338,special,4,original,r,2010,winter,None
35222,tv,12,Non-Original,pg_13,2018,winter,Shoujo
6211,tv,11,original,pg_13,2009,summer,None
12477,movie,1,original,pg_13,2013,fall,None
34577,tv,24,Non-Original,pg_13,2018,winter,Shounen
24,tv,26,Non-Original,pg_13,2004,fall,Shounen
29095,tv,10,Non-Original,r,2015,spring,None
23327,tv,13,original,pg_13,2014,summer,None
32983,tv,11,Non-Original,pg_13,2016,fall,Shoujo
43325,tv,13,Non-Original,r,2021,spring,Shounen
12445,tv,12,Non-Original,r,2012,spring,Shounen
21995,tv,12,Non-Original,pg_13,2014,summer,Shoujo
30709,ova,4,Non-Original,pg_13,2015,summer,Shoujo
25879,tv,13,Non-Original,pg_13,2015,summer,Seinen
7724,tv,22,Non-Original,r,2010,summer,None
31251,tv,25,original,r,2015,fall,None
34451,tv,12,Non-Original,r,2017,fall,Shounen
18,tv,24,Non-Original,pg_13,2004,spring,Seinen
35860,tv,12,Non-Original,pg_13,2018,winter,Shounen
20057,tv,13,original,pg_13,2014,winter,None
35848,movie,1,original,pg_13,2019,spring,None
31812,movie,1,Non-Original,r,2017,winter,Shounen
5682,tv,26,Non-Original,r+,2009,spring,Seinen
9863,tv,77,Non-Original,pg_13,2011,spring,Shounen
43299,tv,12,original,r,2021,winter,None
861,tv,24,Non-Original,pg_13,2006,spring,Seinen
46352,tv,12,Non-Original,pg_13,2021,fall,Seinen
30240,tv,12,Non-Original,r+,2015,summer,Seinen
14349,movie,1,original,pg_13,2013,winter,None
6702,tv,175,Non-Original,pg_13,2009,fall,Shounen
36885,movie,1,Non-Original,pg_13,2019,fall,None
14353,movie,1,original,r,2013,winter,None
34944,movie,1,Non-Original,r,2018,winter,None
28725,movie,1,original,pg_13,2015,summer,None
8525,tv,12,Non-Original,pg_13,2010,fall,Shounen
9289,tv,26,original,pg_13,2011,spring,None
33095,tv,12,Non-Original,pg_13,2017,winter,Josei
37208,ona,15,Non-Original,r,2018,summer,None
37435,tv,24,original,pg_13,2019,spring,None
34437,movie,1,original,r,2019,winter,None
31859,tv,12,Non-Original,pg_13,2016,winter,None
39196,tv,23,Non-Original,pg_13,2019,fall,Shounen
154,tv,64,Non-Original,pg_13,2001,summer,Shounen
6351,special,1,Non-Original,pg_13,2009,summer,None
49114,tv,12,Non-Original,r,2022,winter,Shounen
38481,tv,25,Non-Original,r,2020,winter,None
138,ova,8,Non-Original,pg_13,2003,winter,Shounen
34591,tv,11,Non-Original,pg_13,2017,spring,Shoujo
18897,tv,20,Non-Original,pg_13,2014,winter,Shounen
30727,tv,11,Non-Original,pg_13,2017,spring,None
264,special,1,Non-Original,pg_13,2003,spring,Shounen
28927,tv,12,Non-Original,r,2015,fall,Shounen
3927,tv,25,original,r,2008,fall,None
139,ova,14,Non-Original,pg_13,2004,winter,Shounen
21329,special,1,Non-Original,pg_13,2014,winter,Seinen
329,tv,26,Non-Original,pg_13,2003,fall,Seinen
1689,movie,3,original,pg_13,2007,winter,None
10521,tv,13,Non-Original,pg_13,2011,fall,Seinen
1033,movie,1,original,pg_13,2002,summer,None
37786,tv,13,Non-Original,pg_13,2018,fall,None
40262,ova,2,Non-Original,pg_13,2020,winter,Shounen
36028,tv,12,Non-Original,r,2018,spring,Seinen
120,tv,26,Non-Original,pg_13,2001,summer,Shoujo
15039,movie,1,original,pg_13,2013,summer,None
30230,tv,51,Non-Original,pg_13,2015,spring,Shounen
6213,tv,24,Non-Original,pg_13,2009,fall,None
30885,ova,2,Non-Original,pg_13,2015,fall,Shounen
38084,tv,21,Non-Original,pg_13,2019,fall,None
6033,tv,97,Non-Original,pg_13,2009,spring,Shounen
18179,tv,38,Non-Original,pg_13,2013,fall,Shounen
40046,tv,13,original,r,2020,winter,None
28121,tv,13,Non-Original,pg_13,2015,spring,None
40059,tv,12,Non-Original,r,2020,fall,Seinen
18195,tv,13,Non-Original,pg_13,2013,fall,None
4107,movie,1,original,pg_13,2008,summer,None
12113,movie,1,Non-Original,r+,2012,spring,Seinen
10721,tv,24,original,r,2011,summer,None
12413,tv,12,Non-Original,r+,2012,spring,Seinen
8516,tv,13,Non-Original,pg_13,2011,summer,None
29093,special,1,Non-Original,r+,2015,spring,None
33051,tv,25,original,r,2016,fall,None
32729,tv,13,Non-Original,pg_13,2016,summer,Shoujo
2605,tv,12,Non-Original,r,2007,summer,Shounen
34542,tv,11,Non-Original,r,2017,fall,Seinen
15227,movie,1,Non-Original,pg_13,2016,fall,Seinen
20767,ova,2,Non-Original,pg_13,2014,winter,Shounen
24439,tv,12,Non-Original,r,2015,spring,Shounen
39486,movie,1,Non-Original,pg_13,2021,winter,Shounen
36106,ova,3,Non-Original,r,2017,fall,None
8795,tv,13,original,r,2010,fall,None
3782,movie,1,Non-Original,r,2007,fall,None
5690,tv,11,Non-Original,pg_13,2010,winter,Josei
