anime_id,title,type,score,scored_by,status,episodes,source,members,favorites,rating,sfw,start_year,start_season,genres,demographics,studios
40966,Ling Jian Zun 3rd Season,ona,High,956,finished_airing,40,Non-Original,1972,4,pg_13,True,2019,fall,Action,None,Soyep
5529,Pokemon: Odoru Pokemon Himitsu Kichi,movie,Average,5313,finished_airing,1,Non-Original,11835,2,pg,True,2003,summer,Comedy,Kids,OLM
3636,Warau Kangofu The Animation,ova,Average,2340,finished_airing,2,Non-Original,5935,16,rx,False,2007,fall,Hentai,None,Flavors Soft
36077,Macross Δ Movie: Gekijou no Walküre,movie,Average,2107,finished_airing,1,original,8412,26,pg_13,True,2018,winter,Action,None,Satelight
40315,Code Geass: Fukkatsu no Lelouch Picture Drama,special,Average,2636,finished_airing,2,original,11716,24,r,True,2019,fall,Comedy,None,Sunrise
32160,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,movie,High,1241,finished_airing,1,original,3244,4,g,True,2016,winter,Action,Shoujo,Toei Animation
2176,Kiddy Grade: Ignition,movie,Average,1381,finished_airing,1,original,4687,5,pg_13,True,2007,spring,Action,None,Gonzo
1802,Dirty Pair Flash,ova,Average,3140,finished_airing,6,Non-Original,8289,21,pg_13,True,1994,winter,Action,None,Sunrise
4607,Tsuma to Mama to Boin,ova,Average,2787,finished_airing,2,Non-Original,7485,24,rx,False,2007,winter,Hentai,None,Flavors Soft
904,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,movie,Average,69676,finished_airing,1,Non-Original,111267,16,pg_13,True,1994,summer,Action,Shounen,Toei Animation
40519,Youma Shoukan e Youkoso,ova,Average,2857,finished_airing,2,Non-Original,6780,38,rx,False,2020,winter,Fantasy,None,T-Rex
49487,Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo,special,Average,1915,finished_airing,1,Non-Original,5479,17,pg_13,True,2021,summer,Comedy,None,Yostar Pictures
14129,Starless: 21st Century Nymphomaniacs,ova,Average,3783,finished_airing,4,Non-Original,9576,68,rx,False,2012,summer,Hentai,None,Studio 9 Maiami
37184,Ze Tian Ji 2nd Season,ona,High,1347,finished_airing,12,Non-Original,3098,3,pg_13,True,2016,summer,Action,None,Shanghai Foch Film and TV Culture Investment
13173,Puka Puka Juju,movie,Average,2769,finished_airing,1,original,5386,5,g,True,2012,winter,Fantasy,None,The Answer Studio
1843,Yomigaeru Sora: Rescue Wings - Saigo no Shigoto,special,Average,1547,finished_airing,1,original,3051,2,pg_13,True,2006,spring,Drama,Seinen,J.C.Staff
44086,Prayer X,Non-Original,High,1003,finished_airing,1,original,1716,9,pg_13,True,2018,summer,Avant Garde,None,PERIMETRON
27363,Yakata: Kannou Kitan,ova,Average,2489,finished_airing,2,Non-Original,6870,25,rx,False,2014,fall,Hentai,None,PoRO
41877,Kamiarizuki no Kodomo,movie,Average,4831,finished_airing,1,original,14187,27,g,True,2021,fall,Mystery,None,LIDENFILMS
40733,Zhen Hun Jie: Bei Luo Shi Men Pian Part 1,ona,High,1053,finished_airing,5,Non-Original,5045,8,pg_13,True,2019,fall,Action,None,L²Studio
3079,Aoki Ryuusei SPT Layzner,tv,Average,1436,finished_airing,38,original,5925,28,pg_13,True,1985,fall,Sci-Fi,None,Sunrise
9970,Floating Material,ova,Average,3403,finished_airing,2,Non-Original,8917,16,rx,False,2011,winter,Hentai,None,PoRO
3059,Ninja Senshi Tobikage,tv,Average,1374,finished_airing,43,original,4208,18,pg_13,True,1985,fall,Adventure,Shounen,Pierrot
19257,Meganebu!,tv,Average,10487,finished_airing,12,Non-Original,29681,56,pg_13,True,2013,fall,Comedy,None,Studio Deen
50274,Yao Shen Ji 5th Season,ona,High,543,currently_airing,104,Non-Original,1993,13,pg_13,True,2021,fall,Action,None,Ruo Hong Culture
9731,Nurarihyon no Mago Recaps,special,Average,6871,finished_airing,2,Non-Original,13368,7,pg_13,True,2010,summer,Action,Shounen,Studio Deen
32239,Shinsei: Futanari Idol - Dekatama-kei!,ova,Average,3727,finished_airing,2,Non-Original,8469,52,rx,False,2016,winter,Hentai,None,Studio 9 Maiami
36431,One Room Second Season,tv,Average,19974,finished_airing,12,original,46225,40,pg_13,True,2018,summer,Slice of Life,None,Zero-G
45620,Gyokou no Nikuko-chan,movie,High,1144,finished_airing,1,Non-Original,5877,12,pg_13,True,2021,spring,Drama,None,Studio 4°C
2200,Muteki Choujin Zanbot 3,tv,Average,1339,finished_airing,23,original,4332,18,pg_13,True,1977,fall,Action,Shounen,Sunrise
37047,Imouto sae Ireba Ii. (ONA) Specials,special,Average,3683,finished_airing,2,Non-Original,12592,9,pg_13,True,2018,winter,Comedy,None,SILVER LINK.
13283,One Off,ova,Average,5619,finished_airing,4,original,15525,17,pg_13,True,2012,summer,Slice of Life,None,TYO Animations
2476,School Days,tv,Average,371551,finished_airing,12,Non-Original,613654,2998,r+,True,2007,summer,Drama,None,TNK
38037,Ane Chijo♥Max Heart,ova,Average,2912,finished_airing,4,Non-Original,8432,20,rx,False,2018,summer,Hentai,None,PoRO
5424,Oppai Life,ova,Average,3409,finished_airing,2,Non-Original,8770,28,rx,False,2008,fall,Hentai,None,Y.O.U.C
11807,School,ova,Average,2299,finished_airing,2,original,7048,21,rx,False,2011,fall,Hentai,None,Studio 9 Maiami
30757,Monster Strike,ona,Average,5820,finished_airing,51,Non-Original,23137,30,pg,True,2015,fall,Action,None,Studio Hibari
32039,Show By Rock!! Short!!,tv,Average,4850,finished_airing,12,Non-Original,13009,17,pg_13,True,2016,summer,Comedy,None,Bones
48466,Kyoukai Senki,tv,Average,8423,finished_airing,13,original,25898,123,pg_13,True,2021,fall,Action,None,Sunrise Beyond
2352,Daiakuji: The Xena Buster,ova,Average,3083,finished_airing,6,Non-Original,7419,27,rx,False,2003,fall,Hentai,None,Shinkuukan
32878,ēlDLIVE,tv,Average,17652,finished_airing,12,Non-Original,45729,46,pg_13,True,2017,winter,Action,Shounen,Pierrot
1638,Peter Pan no Bouken,tv,Average,1841,finished_airing,41,Non-Original,4216,9,g,True,1989,winter,Adventure,None,Nippon Animation
36783,Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap,ona,High,1007,finished_airing,1,original,5025,3,pg_13,True,2017,fall,Action,None,Actas
43483,Toaru Kagaku no Railgun T: Motto Marutto Railgun,special,Average,1664,finished_airing,2,Non-Original,5416,6,pg_13,True,2020,spring,Comedy,None,J.C.Staff
20267,Wooser no Sono Higurashi: Kakusei-hen,tv,Average,3150,finished_airing,12,Non-Original,6167,7,g,True,2014,winter,Comedy,None,SANZIGEN
33240,Koneko no Chi: Ponponra Daibouken,tv,Average,1836,finished_airing,51,Non-Original,6760,19,g,True,2016,fall,Slice of Life,None,Marza Animation Planet
6122,Jinkou Shoujo: Henshin Sex Android,ova,Average,2647,finished_airing,2,original,6488,26,rx,False,2009,winter,Hentai,None,Y.O.U.C
1634,Ai Shimai: Futari no Kajitsu,ova,Average,4620,finished_airing,3,Non-Original,10247,37,rx,False,2001,spring,Hentai,None,Office Take Off
2965,Suteki Tantei Labyrinth,tv,Average,2377,finished_airing,25,Non-Original,9451,13,pg_13,True,2007,fall,Mystery,None,Studio Deen
11747,Kiriya Hakushaku Ke no Roku Shimai,ova,Average,2510,finished_airing,2,Non-Original,7030,23,rx,False,2011,fall,Hentai,None,G-Lam
40389,Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,ova,High,526,finished_airing,8,original,4936,19,pg_13,True,2021,fall,Action,None,Satelight
49866,Getsuyoubi no Tawawa 2 Special,special,Average,2508,finished_airing,1,Non-Original,9222,11,pg_13,True,2021,fall,Ecchi,None,Yokohama Animation Lab
37771,Kiniitta Chitsu ni Ikinari Nakadashi OK na Resort-tou,ona,Average,1541,finished_airing,2,Non-Original,4009,10,rx,False,2017,summer,Hentai,None,SELFISH
10547,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,ova,Average,5475,finished_airing,1,Non-Original,12571,3,r+,True,2011,spring,Drama,None,Nomad
973,Glass no Kantai: La Legende du Vent de l'Univers,tv,Average,3444,finished_airing,24,original,11340,19,pg_13,True,2006,spring,Adventure,None,Gonzo
4476,Gensoumaden Saiyuuki: Kibou no Zaika,ova,Average,1439,finished_airing,1,Non-Original,4396,7,pg_13,True,2002,summer,Adventure,None,Pierrot
2230,Hana no Ko Lunlun,tv,Average,1459,finished_airing,50,original,4848,20,g,True,1979,winter,Adventure,Shoujo,Toei Animation
38265,Muma no Machi Cornelica,ova,Average,2846,finished_airing,4,Non-Original,6861,21,rx,False,2018,fall,Hentai,None,Majin
38620,Kanpeki Ojousama no Watakushi ga Dogeza de Mazo Ochisuru Choroin na Wakenai desu wa!,ova,Average,2496,finished_airing,4,Non-Original,7168,23,rx,False,2019,winter,Hentai,None,PoRO
34522,"Wake Up, Girls! Shin Shou",tv,Average,3787,finished_airing,12,original,12686,21,pg_13,True,2017,fall,Drama,None,Millepensee
39382,Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,ova,Average,1903,finished_airing,1,Non-Original,5314,2,pg_13,True,2019,fall,Fantasy,Shoujo,LIDENFILMS
1270,Black Magic M-66,ova,Average,6470,finished_airing,1,Non-Original,14324,19,r,True,1987,spring,Action,None,AIC
3213,Ganbare Genki,tv,High,548,finished_airing,35,Non-Original,2311,13,pg_13,True,1980,summer,Action,Shounen,Toei Animation
32267,Kowaremono: Risa The Animation,ova,Average,4019,finished_airing,1,Non-Original,8613,24,rx,False,2016,winter,Hentai,None,Studio 1st
910,Himawari!,tv,Average,7372,finished_airing,13,original,23219,17,pg_13,True,2006,spring,Adventure,None,Arms
41884,Ling Jian Zun 4th Season,ona,High,579,currently_airing,280,Non-Original,1997,5,pg_13,True,2020,summer,Action,None,Soyep
40613,Altered Carbon: Resleeved,ona,Average,5010,finished_airing,1,Non-Original,8431,11,r,True,2020,winter,Action,None,Anima
473,Tide-Line Blue,tv,Average,2832,finished_airing,12,original,7015,7,pg_13,True,2005,summer,Action,Shounen,Telecom Animation Film
37360,Imouto Paradise! 3 The Animation,ova,Average,2748,finished_airing,2,Non-Original,6597,8,rx,False,2018,spring,Hentai,None,Anime Antenna Iinkai
610,Popotan,tv,Average,9497,finished_airing,12,Non-Original,22813,51,r+,True,2003,spring,Comedy,None,Shaft
17357,Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress,movie,Average,1694,finished_airing,1,original,4045,8,g,True,2013,fall,Fantasy,Kids,Toei Animation
626,Mamotte Shugogetten!,tv,Average,2594,finished_airing,22,Non-Original,7951,12,pg_13,True,1998,fall,Comedy,Shounen,Toei Animation
36895,"Nee, ...Shiyo♥",ova,Average,3391,finished_airing,2,Non-Original,7917,27,rx,False,2018,winter,Hentai,None,Queen Bee
50207,Fanren Xiu Xian Chuan: Mo Dao Zheng Feng,ona,High,433,finished_airing,25,Non-Original,1239,13,pg_13,True,2021,fall,Action,None,Original Force
2050,Honoo no Tenkousei,ova,Average,2879,finished_airing,2,Non-Original,6272,12,pg_13,True,1991,spring,Action,Shounen,Gainax
12367,Shining Hearts: Shiawase no Pan,tv,Average,16235,finished_airing,12,Non-Original,41481,43,pg_13,True,2012,spring,Action,None,Production I.G
280,Animal Yokochou,tv,High,831,finished_airing,51,Non-Original,2727,12,g,True,2005,fall,Adventure,Shoujo,Gallop
37438,Ingress the Animation,tv,Average,7861,finished_airing,11,Non-Original,26368,33,r,True,2018,fall,Action,None,Craftar Studios
40873,Granblue Fantasy The Animation Season 2 Extras,special,Average,3471,finished_airing,2,Non-Original,9276,7,pg_13,True,2020,winter,Adventure,None,MAPPA
36468,Shoujo Shuumatsu Jugyou,ona,Average,4618,finished_airing,12,Non-Original,10236,8,g,True,2017,fall,Comedy,None,Studio PuYUKAI
1978,Onkyo Seimeitai Noiseman,movie,Average,4306,finished_airing,1,original,9359,21,g,True,1997,fall,Action,None,Studio 4°C
1793,Kaze no Na wa Amnesia,movie,Average,7143,finished_airing,1,Non-Original,17074,43,r+,True,1990,fall,Action,None,Madhouse
1891,YAT Anshin! Uchuu Ryokou,tv,High,765,finished_airing,50,original,2024,10,pg_13,True,1996,fall,Adventure,Shounen,Xebec
34753,ChäoS;Child Episode 0,special,Average,10540,finished_airing,1,Non-Original,21556,11,r,True,2017,winter,Mystery,None,SILVER LINK.
36689,Kyonyuu Dosukebe Gakuen,ova,Average,3187,finished_airing,2,Non-Original,8689,24,rx,False,2018,fall,Hentai,None,Studio 1st
6920,Blade,tv,Average,10977,finished_airing,12,Non-Original,26149,24,r,True,2011,summer,Action,None,Madhouse
20757,Taimanin Yukikaze,ova,Average,4175,finished_airing,3,Non-Original,10918,59,rx,False,2013,fall,Hentai,None,Oz Inc.
1799,Fatal Fury: Legend of the Hungry Wolf,special,Average,5444,finished_airing,1,Non-Original,9772,18,pg_13,True,1992,fall,Action,Shounen,Studio Comet
37879,Benghuai 3: Reburn,ona,Average,1421,finished_airing,1,Non-Original,3663,21,pg_13,True,2017,summer,Action,None,Dancing CG Studio
14145,"Hanayaka Nari, Waga Ichizoku: Kinetograph",ova,Average,6009,finished_airing,2,Non-Original,14701,40,pg_13,True,2012,fall,Drama,Josei,Anpro
1062,Nekojiru Gekijou Jirujiru Original,tv,Average,4721,finished_airing,27,Non-Original,10568,69,r,True,1999,summer,Action,None,Kent House
36956,Jewelry The Animation,ova,Average,2989,finished_airing,1,Non-Original,6114,18,rx,False,2018,winter,Hentai,None,Studio 1st
