,anime_id,studios
374,38671,['David Production']
375,7711,['Studio Ghibli']
376,44074,['Studio LAN']
377,17549,['SILVER LINK.']
378,16918,['A-1 Pictures']
379,33161,['feel.']
380,16664,['Studio Ghibli']
381,3783,['ufotable']
382,186,['Pastel']
383,820,['Kitty Film Mitaka Studio']
384,10271,['Madhouse']
385,30123,['Bones']
386,40542,"['J.C.Staff', 'Egg Firm']"
387,2581,['Sunrise']
388,21647,['Kyoto Animation']
389,32902,['Wit Studio']
390,2246,['Toei Animation']
391,4898,['A-1 Pictures']
392,33926,['B.CMAY PICTURES']
393,39940,['J.C.Staff']
394,486,['A.C.G.T.']
395,1818,['Madhouse']
396,66,['J.C.Staff']
397,32093,['SILVER LINK.']
398,38101,['Tezuka Productions']
399,11977,['Shaft']
400,48580,['Bones']
401,28907,['A-1 Pictures']
402,38474,['C-Station']
403,1887,['Kyoto Animation']
404,39468,['Ajia-Do']
405,40421,['Lerche']
406,38889,['Platinum Vision']
407,37989,['Geno Studio']
408,3901,"[""Brain's Base""]"
409,5630,['Production I.G']
410,38234,['Toei Animation']
411,73,['Kyoto Animation']
412,31637,['A-1 Pictures']
413,40935,['Orange']
414,552,['Toei Animation']
415,18689,"['Production I.G', 'Madhouse']"
416,416,['Studio Ghibli']
417,3702,['Studio 4°C']
418,40716,['Ajia-Do']
419,8129,"[""Brain's Base""]"
420,1530,['Kyoto Animation']
421,22043,"['A-1 Pictures', 'Bridge']"
422,19363,['A-1 Pictures']
423,23623,['SILVER LINK.']
424,41402,['Bandai Namco Pictures']
425,23317,['A-1 Pictures']
426,40815,['Ajia-Do']
427,50380,['P.A. Works']
428,7338,['Bones']
429,35222,"[""Brain's Base""]"
430,6211,"['Bones', 'Kinema Citrus']"
431,12477,"['Studio Rikka', 'Purple Cow Studio Japan']"
432,34577,['A-1 Pictures']
433,24,['Studio Comet']
434,29095,['8bit']
435,23327,['Bones']
436,32983,['Shuka']
437,43325,['Production I.G']
438,12445,['SILVER LINK.']
439,21995,['Production I.G']
440,30709,['TMS Entertainment']
441,25879,['A-1 Pictures']
442,7724,['Daume']
443,31251,['Sunrise']
444,34451,['Bones']
445,18,['A.C.G.T.']
446,35860,['Shin-Ei Animation']
447,20057,['Bones']
448,35848,['Trigger']
449,31812,['A-1 Pictures']
450,5682,['Bee Train']
451,9863,['Tatsunoko Production']
452,43299,['CloverWorks']
453,861,['Production I.G']
454,46352,['Seven Arcs']
455,30240,['J.C.Staff']
456,14349,['Trigger']
