,anime_id,type,score,scored_by,episodes,source,rating,sfw,start_season
8267,42142,special,6,275,2.0,Non-Original,pg_13,True,spring
8268,30600,special,5,2615,1.0,Non-Original,pg_13,True,winter
8269,35652,ona,6,301,13.0,Non-Original,g,True,spring
8270,40179,special,6,526,1.0,original,g,True,spring
8271,40994,ona,6,159,12.0,Non-Original,pg_13,True,fall
8272,40801,ova,5,1777,2.0,Non-Original,rx,False,winter
8273,40034,special,5,1032,8.0,original,g,True,spring
8274,33690,tv,4,4363,12.0,original,pg_13,True,fall
8275,4211,tv,6,316,25.0,Non-Original,pg_13,True,spring
8276,216,movie,5,1075,1.0,Non-Original,pg_13,True,fall
8277,2015,ova,6,799,1.0,Non-Original,pg_13,True,fall
8278,9100,special,6,536,4.0,Non-Original,pg_13,True,fall
8279,41375,ona,5,962,2.0,Non-Original,rx,False,winter
8280,37923,ona,6,520,1.0,original,g,True,fall
8281,2019,ova,6,836,1.0,Non-Original,pg_13,True,fall
8282,31966,ona,5,1736,1.0,Non-Original,r,True,fall
8283,17395,ova,5,3632,1.0,Non-Original,pg_13,True,summer
8284,3039,ova,5,1105,2.0,Non-Original,rx,False,fall
8285,4000,ova,6,788,2.0,Non-Original,rx,False,fall
8286,752,ova,4,4135,1.0,Non-Original,r+,True,summer
8287,34117,ona,6,293,1.0,original,g,True,summer
8288,9857,special,6,334,1.0,Non-Original,g,True,fall
8289,6932,ova,6,784,1.0,Non-Original,pg_13,True,fall
8290,9990,movie,6,799,1.0,original,pg_13,True,summer
8291,36942,special,6,360,3.0,Non-Original,pg_13,True,fall
8292,40932,special,5,1785,1.0,original,pg_13,True,winter
8293,23897,tv,6,292,20.0,Non-Original,pg,True,summer
8294,10342,movie,6,429,1.0,original,g,True,summer
8295,22055,special,6,580,2.0,original,pg_13,True,fall
8296,42166,ona,6,136,2.0,Non-Original,pg_13,True,spring
8297,21663,special,5,912,1.0,original,pg_13,True,fall
8298,19585,tv,6,175,63.0,Non-Original,g,True,fall
8299,38957,ona,6,756,1.0,original,pg_13,True,winter
8300,33498,special,6,343,3.0,Non-Original,g,True,winter
8301,2305,ova,5,1136,6.0,original,pg_13,True,winter
8302,2292,ova,5,1112,6.0,original,r,True,summer
8303,45587,tv,5,3141,12.0,Non-Original,r,True,spring
8304,1076,ova,5,1252,1.0,Non-Original,r,True,winter
8305,3435,tv,6,309,26.0,original,pg_13,True,winter
8306,13427,ona,5,1752,7.0,original,g,True,spring
8307,39249,movie,6,542,2.0,Non-Original,g,True,spring
