anime_id,title,type,score,scored_by,status,episodes,source,members,favorites,rating,sfw,start_year,start_season,genres,themes,demographics,studios,producers
35028,Baka Dakedo Chinchin Shaburu no dake wa Jouzu na Chii-chan♡,ova,7,6662,finished_airing,2.0,Non-Original,14675,81,rx,False,2017.0,spring,['Hentai'],[],[],['T-Rex'],['Lune Pictures']
5084,Mai Mai Shinko to Sennen no Mahou,movie,7,5135,finished_airing,1.0,Non-Original,14136,21,pg,True,2009.0,summer,"['Adventure', 'Drama']",[],[],['Madhouse'],"['Avex Entertainment', 'Shochiku']"
21639,Yu☆Gi☆Oh! Arc-V,tv,6,30088,finished_airing,148.0,Non-Original,57569,451,pg_13,True,2014.0,spring,"['Action', 'Fantasy']",['Strategy Game'],['Shounen'],['Gallop'],"['TV Tokyo', 'Nihon Ad Systems', 'Marvelous AQL', 'Konami Cross Media NY']"
41140,Princess Principal: Crown Handler Movie 2,movie,7,2217,finished_airing,1.0,original,9906,22,r,True,2021.0,summer,"['Action', 'Mystery']",['Historical'],[],['Actas'],[]
344,Futatsu no Spica,tv,7,3616,finished_airing,20.0,Non-Original,9744,64,pg_13,True,2003.0,fall,"['Drama', 'Sci-Fi', 'Supernatural']",['School'],[],['Group TAC'],['NHK']
30915,Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi,special,6,17247,finished_airing,1.0,Non-Original,37485,29,r,True,2015.0,spring,"['Action', 'Fantasy', 'Supernatural']","['Super Power', 'Vampire']",['Shounen'],['Bones'],['TOHO animation']
933,Dai Mahou Touge,ova,6,11940,finished_airing,4.0,Non-Original,30414,104,r,True,2006.0,winter,"['Comedy', 'Supernatural']",['Gag Humor'],[],['Diomedéa'],[]
40708,Monster Musume no Oishasan,tv,6,83829,finished_airing,12.0,Non-Original,180003,346,pg_13,True,2020.0,summer,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']","['Anthropomorphic', 'Medical']",[],['Arvo Animation'],"['Hakuhodo DY Music & Pictures', 'Bandai Namco Arts']"
36491,Doupo Cangqiong,ona,7,4374,finished_airing,12.0,Non-Original,9388,92,pg_13,True,2017.0,winter,"['Action', 'Adventure', 'Comedy', 'Romance', 'Supernatural']",[],[],['Shanghai Foch Film and TV Culture Investment'],"['Tencent Penguin Pictures', 'China Literature Limited']"
2808,Irregular Hunter X: The Day of Sigma,ova,7,5985,finished_airing,1.0,Non-Original,11074,52,pg,True,2005.0,fall,"['Action', 'Sci-Fi']",['Mecha'],['Shounen'],['Xebec'],[]
