anime_id,studios
28405,Lerche
5118,Kyoto Animation
37426,MAPPA
25313,Sunrise
27947,Telecom Animation Film
23421,Lerche
20853,Bones
21743,Doga Kobo
8311,Pierrot Plus
208,Studio Deen
522,Madhouse
35823,A-1 Pictures
587,Group TAC
32547,SILVER LINK.
40416,GEEK TOYS
102,TMS Entertainment
4053,M.S.C
35828,8bit
31380,Xebec
33091,David Production
3014,Kitty Film Mitaka Studio
46093,P.A. Works
6895,Studio Deen
20689,NAZ
31931,Xebec
901,Toei Animation
11135,Studio Deen
10378,Diomedéa
34504,GoHands
31733,Toei Animation
4186,Zexcs
39586,David Production
24543,A-1 Pictures
32949,Lerche
28285,Seven Arcs Pictures
38337,Encourage Films
1914,Madhouse
2752,M.S.C
30911,ufotable
2129,P.A. Works
997,Toei Animation
14189,SILVER LINK.
50709,A-1 Pictures
16009,Madhouse
49310,TMS Entertainment
32668,Production I.G
10389,Production I.G
96,Sunrise
19369,feel.
1412,Tokyo Movie Shinsha
3016,Magic Bus
30191,Shuka
48804,OLM
11701,P.A. Works
1813,Ajia-Do
41710,J.C.Staff
3603,APPP
29575,Collaboration Works
35821,Diomedéa
13357,TNK
5162,asread.
13767,Studio Deen
27957,White Fox
5835,Pierrot
98,Sunrise
1691,Gonzo
18893,SANZIGEN
32071,Digital Frontier
880,AIC
9201,Satelight
1379,A.C.G.T.
5909,Studio Deen
10396,David Production
8038,J.C.Staff
50,AIC
12679,J.C.Staff
12467,Hoods Entertainment
906,Toei Animation
5262,Satelight
18619,Actas
3841,Madhouse
33654,Encourage Films
35857,Telecom Animation Film
32696,Pierrot Plus
8476,J.C.Staff
32951,LIDENFILMS
35338,A-1 Pictures
18055,Studio Deen
19511,Pierrot
20517,J.C.Staff
35330,Kamikaze Douga
35678,Kyoto Animation
34662,A-1 Pictures
28771,Gallop
43691,Pine Jam
32108,Toei Animation
6707,A-1 Pictures
32122,Bandai Namco Pictures
1313,Toei Animation
15225,J.C.Staff
567,Sunrise
31414,Production Reed
34136,Telecom Animation Film
35262,Bones
2158,Tokyo Kids
49893,Kyoto Animation
11179,feel.
1579,Yumeta Company
32827,Production I.G
7661,Studio Deen
35756,Nexus
13203,TMS Entertainment
38088,Yumeta Company
7858,AIC ASTA
35889,Satelight
36043,Signal.MD
9000,Madhouse
302,Nippon Animation
2449,Production I.G
16353,Doga Kobo
1536,Xebec
15775,A-1 Pictures
9510,Bridge
2563,Hal Film Maker
13599,Production I.G
41497,CloverWorks
37924,Fanworks
19221,Diomedéa
25,Gonzo
551,Group TAC
38959,TROYCA
34086,ufotable
23269,Studio Gokumi
34036,TMS Entertainment
35639,Pine Jam
5074,A-1 Pictures
24913,Brain's Base
5355,Production I.G
43756,Zexcs
42941,Studio Kai
1222,Artland
36633,J.C.Staff
10643,Sunrise
21105,J.C.Staff
87,Sunrise
36215,Toei Animation
32863,Lerche
33338,Toei Animation
12117,TMS Entertainment
5667,Xebec
13271,Madhouse
584,Satelight
38699,Bones
24627,LIDENFILMS
43692,J.C.Staff
42423,GEEK TOYS
37993,Doga Kobo
12487,Sunrise
27,Gonzo
28825,Doga Kobo
2594,Madhouse
42192,J.C.Staff
14811,Doga Kobo
9135,Bones
