anime_id,genres,type,episodes,source,rating,start_year,start_season,demographics,score,scored_by,members,favorites
32405,Hentai,ova,2,Non-Original,rx,2016,winter,None,Average,4011,10189,37
2799,Adventure,tv,47,original,g,1981,spring,Shoujo,High,2726,5653,26
33181,Comedy,ova,1,Non-Original,pg_13,2016,summer,Shoujo,Average,5715,17069,9
35427,Comedy,tv,12,original,pg_13,2017,fall,None,Average,28386,70787,103
10532,Comedy,ona,2,Non-Original,g,2011,spring,None,Average,5540,13932,9
2569,Adventure,tv,52,Non-Original,g,1989,fall,None,Average,3474,6458,21
31845,Action,tv,12,Non-Original,r+,2016,summer,None,Average,118781,260321,651
32214,Action,tv,12,Non-Original,pg_13,2016,winter,None,Average,15206,43242,86
29807,Hentai,ova,1,Non-Original,rx,2015,spring,None,High,2768,7536,50
27887,Comedy,special,2,Non-Original,pg_13,2014,fall,None,Average,4278,8994,1
40460,Comedy,ova,1,Non-Original,pg_13,2020,winter,None,Average,4818,15020,35
5397,Comedy,tv,13,original,pg_13,2008,fall,None,High,2689,4312,6
31117,Hentai,ova,2,Non-Original,rx,2015,fall,None,Average,5815,13063,43
25437,Romance,ova,2,Non-Original,pg_13,2014,fall,Shoujo,Average,12665,25940,18
41520,Comedy,tv,12,Non-Original,pg_13,2021,winter,None,High,2566,9931,48
48842,Action,tv,12,Non-Original,pg_13,2022,spring,None,Average,29093,102487,661
36889,Hentai,ova,4,Non-Original,rx,2018,fall,None,Average,4772,9689,72
35602,Romance,special,1,original,pg_13,2017,spring,None,Average,8911,17736,17
41528,Action,ona,12,Non-Original,pg_13,2020,spring,None,High,1407,2906,12
33964,Action,special,1,original,r,2016,summer,None,Average,15632,30747,18
4200,Adventure,ova,10,Non-Original,pg_13,1987,fall,None,High,2508,6696,16
49409,Adventure,movie,1,Non-Original,pg_13,2021,summer,None,High,1258,2461,16
5983,Comedy,tv,39,original,pg,2009,spring,None,High,2548,5750,15
12959,Hentai,ova,2,Non-Original,rx,2012,fall,None,Average,4084,10798,32
37828,Action,movie,1,Non-Original,pg,2019,fall,None,Average,7612,25593,45
8039,Hentai,ova,2,Non-Original,rx,2010,winter,None,Average,3534,9469,38
14543,Action,ova,4,Non-Original,rx,2012,summer,None,Average,5335,14040,117
3389,Action,tv,3,Non-Original,pg_13,2008,winter,None,Average,14745,26660,45
266,Drama,tv,12,Non-Original,pg_13,2003,winter,Shounen,Average,5833,15418,22
7654,Drama,special,1,original,pg_13,2009,fall,None,High,2743,8322,7
33994,Comedy,special,4,Non-Original,pg_13,2016,fall,Josei,Average,3664,17544,21
37815,Hentai,ova,1,Non-Original,rx,2018,summer,None,High,2323,5983,21
35228,Comedy,movie,1,Non-Original,pg_13,2018,fall,Shoujo,Average,3938,11353,26
41660,Drama,ona,6,Non-Original,pg_13,2020,spring,Seinen,Average,9015,21052,16
4792,Adventure,movie,1,Non-Original,pg,1999,summer,Kids,Average,13377,23832,7
33962,Hentai,ova,2,Non-Original,rx,2016,summer,None,Average,4950,11001,38
5967,Action,tv,13,Non-Original,pg_13,2004,spring,Shounen,Average,3481,6991,10
40134,Fantasy,ona,1,Non-Original,pg_13,2019,winter,Shounen,High,2924,9708,17
23033,Hentai,ova,1,Non-Original,rx,2014,spring,None,Average,6744,14699,48
6465,Hentai,ova,4,Non-Original,rx,2009,spring,None,Average,3730,9660,138
1792,Action,tv,26,original,pg_13,2002,fall,Shounen,Average,3550,11797,31
1886,Comedy,tv,52,original,g,2006,spring,Shoujo,High,1941,5424,22
1931,Comedy,movie,1,original,g,2005,fall,Shoujo,High,2506,5831,6
115,Adventure,tv,13,original,pg_13,1998,winter,None,Average,4760,10763,9
2142,Adventure,tv,51,Non-Original,pg,2007,spring,None,Average,26333,50198,95
29976,Fantasy,tv,12,Non-Original,r,2015,fall,Shoujo,Average,53503,116938,503
43568,Fantasy,ona,1,Non-Original,pg,2020,fall,Kids,Average,3291,5446,1
33183,Action,movie,1,original,g,2016,fall,Shoujo,High,1170,3128,2
1413,Action,special,1,Non-Original,pg_13,2001,summer,Seinen,High,2770,6961,6
544,Action,movie,1,Non-Original,pg_13,1989,winter,None,Average,5136,12835,45
30895,Mystery,tv,12,Non-Original,pg_13,2016,winter,None,Average,31233,86451,128
19157,Comedy,tv,214,Non-Original,g,2014,winter,Kids,Average,12520,27389,193
4136,Comedy,ona,22,Non-Original,r+,2008,spring,None,Average,6189,16332,19
4663,Action,tv,20,Non-Original,pg_13,1988,summer,Shounen,High,1802,4124,9
4360,Hentai,ova,4,Non-Original,rx,2008,spring,None,Average,4568,11201,103
36910,Action,ona,42,Non-Original,pg_13,2017,fall,None,High,1178,2819,9
222,Action,tv,13,original,r+,2004,winter,None,Average,7988,19796,38
24873,Fantasy,tv,12,Non-Original,pg_13,2015,winter,None,Average,69958,146227,154
635,Action,tv,13,original,pg_13,1999,spring,Shounen,Average,7364,17636,30
28311,Hentai,ova,1,Non-Original,rx,2014,fall,None,Average,4817,11085,38
2585,Drama,ova,1,original,pg_13,1988,winter,None,High,1686,3937,6
1371,Adventure,tv,13,Non-Original,pg_13,2004,spring,None,High,2354,8792,31
1194,Action,tv,12,original,pg_13,2006,summer,Shounen,Average,8243,19575,34
48567,Supernatural,tv,12,original,pg_13,2021,fall,None,Average,7577,33460,418
7396,Comedy,ova,1,Non-Original,pg_13,2005,spring,Seinen,Average,6796,17219,4
1107,Action,movie,1,Non-Original,r+,1987,spring,None,Average,18169,45152,171
37599,Action,tv,12,Non-Original,r,2020,fall,None,Average,11211,33381,58
15119,Action,tv,12,Non-Original,pg_13,2013,winter,None,Average,39453,125990,251
31189,Hentai,ova,2,Non-Original,rx,2015,summer,None,Average,4627,10036,67
12651,Action,tv,58,Non-Original,g,2012,winter,Kids,High,2711,5734,25
6958,Comedy,ova,1,Non-Original,pg_13,2009,fall,None,Average,5366,9798,5
34085,Action,Non-Original,1,original,pg_13,2016,summer,None,Average,3099,5907,13
27857,Comedy,ona,13,Non-Original,pg_13,2014,fall,None,Average,7174,15524,6
1736,Action,ova,14,Non-Original,pg_13,1997,summer,Shounen,High,2277,4672,21
14127,Hentai,ova,2,Non-Original,rx,2012,summer,None,Average,5269,12932,48
27509,Action,special,1,Non-Original,pg_13,2014,summer,None,Average,4701,13252,14
40472,Hentai,ova,1,Non-Original,rx,2019,fall,None,Average,3115,6573,17
3421,Comedy,ova,1,Non-Original,pg,1995,fall,Shoujo,High,2181,5881,21
3085,Comedy,ova,3,Non-Original,r+,2007,fall,None,Average,9432,20022,25
38909,Fantasy,tv,13,Non-Original,pg_13,2020,winter,None,Average,69943,153189,240
1527,Adventure,ona,1,Non-Original,pg,2006,fall,Kids,Average,15321,28732,3
2389,Action,tv,105,original,pg_13,1972,fall,Shounen,Average,3269,9317,55
33025,Action,movie,1,Non-Original,pg_13,2016,fall,Seinen,High,2168,6231,4
4010,Hentai,ova,2,Non-Original,rx,2008,winter,None,Average,5587,12946,81
308,Drama,tv,26,original,pg_13,2005,spring,Shounen,Average,3729,19012,63
34107,Hentai,ova,1,Non-Original,rx,2016,fall,None,Average,3334,7666,24
4657,Action,tv,26,Non-Original,pg_13,2009,spring,None,Average,5917,15847,33
25689,Ecchi,ova,2,Non-Original,r+,2015,winter,None,Average,7284,20993,21
7016,Comedy,special,9,Non-Original,pg_13,2009,summer,None,Average,4902,11257,3
1248,Action,ova,1,Non-Original,pg_13,2001,winter,None,Average,3968,8781,12
