anime_id,score,scored_by,members,favorites
51096,High,30373,226779,2833
19123,High,28089,54378,73
10460,High,59136,172960,1344
10589,High,127146,216346,175
32673,High,48926,121843,602
39555,High,90930,148118,384
24151,High,73455,133776,224
42250,High,35616,90579,863
4918,High,32053,65682,97
464,High,50768,87164,298
779,High,40849,64961,81
28979,High,125481,237025,931
9760,High,89303,194543,610
2889,High,136915,225042,477
14345,High,461362,795100,3271
30347,High,95400,175069,197
12883,High,57713,160410,2217
6467,High,29884,51312,48
34544,High,53871,111943,237
10937,High,25480,63919,764
6377,High,38682,100600,226
23777,High,42413,110703,205
4192,High,54865,109316,472
2397,High,44906,71986,293
38409,High,35765,69416,941
30415,High,38940,85347,257
19703,High,49432,173297,1864
30778,High,87299,169939,692
13655,High,102695,274068,1833
23251,High,75889,172086,990
38816,High,90427,200821,1197
20541,High,171042,363989,1156
3712,High,256984,417823,795
9471,High,69654,119893,108
1023,High,32541,61855,336
25649,High,58697,112380,487
856,High,61906,156477,1138
962,High,27400,73122,771
45055,High,43344,104377,908
23385,High,59351,118568,63
2961,High,68904,106596,340
40908,High,140775,313036,2071
4182,High,76409,132957,184
1367,High,30331,51422,34
8246,High,132425,226402,192
4177,High,56274,131995,1052
38793,High,95698,192626,463
5204,High,103907,178306,176
450,High,54023,97288,238
33323,High,27765,55850,165
10568,High,91500,227135,770
32491,High,52701,118484,583
617,High,63110,123706,985
40904,High,123495,271375,2152
16417,High,158020,382033,1461
20431,High,42312,121960,1164
8063,High,35547,67093,124
67,High,74345,174238,1331
780,High,35680,57744,59
479,High,46506,110746,837
15771,High,40000,86691,422
77,High,32123,61520,964
356,High,481891,873475,6974
40060,High,173215,316892,2343
9790,High,68302,126329,262
1088,High,33656,98081,1612
35382,High,31928,74882,242
2508,High,43161,78932,200
31149,High,30499,64179,592
31553,High,95076,166855,252
23225,High,36334,68214,142
885,High,48849,123553,2766
1506,High,29644,50798,36
11933,High,138652,276241,1116
41168,High,214308,346472,1548
40269,High,50301,79415,293
2951,High,28192,52251,66
427,High,33413,79024,1199
39071,High,53284,138348,978
42940,High,54483,91176,402
793,High,32206,61847,112
14967,High,303615,495676,1145
35806,High,41254,82304,70
21273,High,85158,217204,2102
29755,High,31269,84211,102
32681,High,69978,141338,1055
1292,High,183649,337096,1698
6586,High,36599,74744,1009
957,High,33508,89226,1085
37614,High,87251,193796,1170
34618,High,337446,598768,2882
12069,High,27307,46844,65
371,High,54837,92690,177
65,High,56777,100153,443
38483,High,215009,395820,2047
35111,High,25239,66953,68
