,anime_id,keywords
181,39741,"['Drama', 'Fantasy', 'Slice of Life']"
182,36862,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
183,572,"['Adventure', 'Fantasy']"
184,2167,"['Drama', 'Romance', 'Supernatural', 'School']"
185,20507,"['Action', 'Fantasy', 'Mythology']"
186,35788,"['Ecchi', 'Gourmet', 'School']"
187,46102,"['Mystery', 'Anthropomorphic']"
188,15417,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']"
189,22135,"['Drama', 'Sports']"
190,31964,"['Action', 'School', 'Super Power']"
191,7674,"['Comedy', 'Drama', 'Romance', 'Otaku Culture']"
192,10030,"['Comedy', 'Drama', 'Romance', 'Otaku Culture']"
193,5,"['Action', 'Sci-Fi', 'Adult Cast', 'Space']"
194,39783,"['Comedy', 'Romance', 'Harem', 'School']"
195,38003,"['Action', 'Mystery', 'Supernatural', 'Super Power']"
196,45,"['Action', 'Adventure', 'Comedy', 'Romance', 'Historical', 'Samurai']"
197,33206,"['Fantasy', 'Slice of Life']"
198,1519,"['Action', 'Adult Cast', 'Organized Crime']"
199,2025,"['Action', 'Mystery', 'Sci-Fi', 'Super Power']"
200,6594,"['Action', 'Adventure', 'Romance', 'Historical', 'Martial Arts']"
201,14513,"['Action', 'Adventure', 'Fantasy']"
202,38408,"['Action', 'School', 'Super Power']"
203,889,"['Action', 'Adult Cast', 'Organized Crime']"
204,33050,"['Action', 'Fantasy', 'Supernatural']"
205,28805,"['Adventure', 'Supernatural', 'Anthropomorphic', 'Isekai']"
206,5258,"['Sports', 'Combat Sports']"
207,30015,"['Drama', 'Romance', 'Slice of Life', 'School']"
208,35557,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Anthropomorphic']"
209,223,"['Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Super Power']"
210,227,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi', 'Mecha', 'Parody', 'Psychological']"
211,9617,"['Comedy', 'Slice of Life', 'CGDCT', 'Music']"
212,14719,"['Action', 'Adventure', 'Supernatural', 'Vampire']"
213,29803,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Isekai', 'Video Game']"
214,1889,"['Mystery', 'Supernatural', 'Suspense', 'Gore', 'Psychological']"
215,25013,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']"
216,35062,"['Fantasy', 'Slice of Life']"
217,35851,"['Drama', 'Fantasy']"
218,467,"['Action', 'Sci-Fi', 'Adult Cast', 'Detective', 'Mecha', 'Military']"
219,40787,"['Drama', 'Romance', 'Slice of Life', 'Visual Arts']"
220,34096,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']"
221,1604,"['Action', 'Comedy', 'Organized Crime', 'Super Power']"
222,34798,"['Slice of Life', 'CGDCT', 'Iyashikei']"
223,25537,"['Action', 'Fantasy', 'Supernatural']"
224,6045,"['Drama', 'Romance', 'Slice of Life', 'School']"
225,4081,"['Drama', 'Slice of Life', 'Supernatural', 'Iyashikei', 'Mythology']"
226,17265,"['Action', 'Adventure', 'Fantasy', 'Adult Cast', 'Video Game']"
227,14713,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Mythology']"
228,6114,"['Drama', 'Suspense', 'Delinquents', 'Historical']"
229,6675,"['Action', 'Sci-Fi', 'Adult Cast', 'Racing']"
230,32615,"['Action', 'Isekai', 'Military', 'Reincarnation']"
231,36296,"['Comedy', 'Supernatural', 'Childcare', 'Organized Crime']"
232,44,"['Action', 'Drama', 'Romance', 'Adult Cast', 'Historical', 'Martial Arts', 'Samurai']"
233,35466,"['Romance', 'Slice of Life', 'School']"
234,37095,"['Drama', 'Fantasy', 'Slice of Life']"
235,35968,"['Romance', 'Adult Cast', 'Otaku Culture', 'Workplace']"
236,269,"['Action', 'Adventure', 'Fantasy']"
237,48561,"['Action', 'Fantasy', 'School']"
238,36946,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Super Power']"
239,15335,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel']"
240,36949,"['Ecchi', 'Gourmet', 'School']"
241,48661,"['Action', 'Adventure']"
242,48926,"['Comedy', 'Romantic Subtext', 'School']"
243,37675,"['Action', 'Fantasy', 'Supernatural', 'Isekai', 'Video Game']"
244,7785,"['Comedy', 'Mystery', 'Romance', 'Psychological', 'Time Travel']"
245,12531,"['Drama', 'Romance', 'Love Polygon', 'Music', 'School']"
246,185,"['Action', 'Drama', 'Racing']"
247,37171,"['Comedy', 'Gag Humor', 'School']"
248,16782,"['Drama', 'Romance', 'Slice of Life', 'Visual Arts']"
249,25681,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Mythology']"
250,5681,"['Comedy', 'Sci-Fi']"
251,232,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Mahou Shoujo', 'School']"
252,32995,['Sports']
253,585,"['Drama', 'Romance', 'Slice of Life']"
254,27775,"['Drama', 'Romance', 'Sci-Fi']"
255,2759,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Psychological']"
256,339,"['Avant Garde', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Psychological']"
257,34822,"['Romance', 'School']"
258,19647,"['Sports', 'Combat Sports']"
259,28025,"['Comedy', 'Ecchi', 'Mystery', 'Supernatural']"
260,2034,"['Comedy', 'Romance']"
261,2418,"['Action', 'Adventure', 'Historical', 'Samurai']"
262,4282,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Suspense']"
263,1482,"['Action', 'Adventure', 'Comedy', 'Mythology', 'Super Power']"
264,35507,"['Drama', 'Psychological', 'School']"
265,39565,"['Action', 'Super Power']"
266,38668,"['Action', 'Comedy', 'Fantasy', 'Horror', 'Gore']"
267,3588,"['Action', 'Comedy', 'Fantasy', 'Supernatural']"
268,10800,"['Drama', 'Slice of Life', 'Sports', 'Love Polygon', 'School', 'Strategy Game']"
269,170,"['Sports', 'School', 'Team Sports']"
270,1943,"['Avant Garde', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense', 'Adult Cast', 'Psychological']"
271,22319,"['Action', 'Fantasy', 'Horror', 'Gore', 'Psychological']"
272,3002,"['Suspense', 'Adult Cast', 'High Stakes Game', 'Psychological', 'Strategy Game']"
273,39195,"['Drama', 'Slice of Life', 'Anthropomorphic', 'Psychological', 'School']"
