,anime_id,licensors
474,34591,[]
475,18897,['Aniplex of America']
476,30727,[]
477,264,"['Discotek Media', 'Geneon Entertainment USA']"
478,28927,['Funimation']
479,3927,['Bandai Entertainment']
480,139,[]
481,21329,[]
482,329,['Bandai Entertainment']
483,1689,"['ADV Films', 'Bandai Entertainment', 'Discotek Media', 'GKIDS', 'Crunchyroll']"
484,10521,"['NIS America, Inc.']"
485,1033,"['Eleven Arts', 'DreamWorks']"
486,37786,['Sentai Filmworks']
487,40262,['Sentai Filmworks']
488,36028,['Funimation']
489,120,['Funimation']
490,15039,['Aniplex of America']
491,30230,[]
492,6213,['Funimation']
493,30885,[]
494,38084,['Aniplex of America']
495,6033,['Funimation']
496,18179,['Discotek Media']
497,40046,['Funimation']
498,28121,['Sentai Filmworks']
499,40059,['Funimation']
500,18195,['Sentai Filmworks']
501,4107,['Aniplex of America']
502,12113,"['VIZ Media', 'NYAV Post']"
503,10721,['Sentai Filmworks']
504,12413,['Funimation']
505,8516,['Funimation']
506,29093,['Sentai Filmworks']
507,33051,['Funimation']
508,32729,"['Funimation', 'Crunchyroll']"
509,2605,"['Nozomi Entertainment', 'Media Blasters']"
510,34542,[]
511,15227,['Shout! Factory']
512,20767,[]
513,24439,['Funimation']
514,39486,['Eleven Arts']
515,36106,[]
516,8795,['Funimation']
517,3782,['Aniplex of America']
518,5690,[]
519,49721,['Sentai Filmworks']
520,4280,['Aniplex of America']
521,31490,['Funimation']
522,36474,['Aniplex of America']
523,1827,"['VIZ Media', 'Media Blasters', 'Sentai Filmworks', 'Geneon Entertainment USA']"
524,4477,[]
525,36896,['Funimation']
526,387,"['Funimation', 'Geneon Entertainment USA']"
527,40729,['Funimation']
528,19111,"['NIS America, Inc.']"
529,137,[]
530,39597,['Aniplex of America']
531,22961,['Funimation']
532,2924,['Sentai Filmworks']
533,202,"['Funimation', 'Bandai Entertainment']"
534,239,"['Funimation', 'Geneon Entertainment USA']"
535,530,"['ADV Films', 'VIZ Media', 'DiC Entertainment']"
536,846,['Funimation']
537,40221,"['VIZ Media', 'Crunchyroll']"
538,31765,['Aniplex of America']
539,28677,"['Funimation', 'Crunchyroll']"
540,38080,['Funimation']
541,34902,['Funimation']
542,13331,['Funimation']
543,31704,[]
544,597,"['Disney Platform Distribution', 'GKIDS']"
545,21405,['Sentai Filmworks']
546,37379,['Sentai Filmworks']
547,22507,[]
548,16,"['VIZ Media', 'Discotek Media']"
549,43523,[]
550,6956,"['NIS America, Inc.']"
551,13667,['VIZ Media']
552,9919,['Aniplex of America']
553,20159,['The Pokemon Company International']
554,3091,[]
555,3785,['Funimation']
556,372,"['Nelvana', 'Discotek Media', 'Geneon Entertainment USA']"
557,1430,"['Discotek Media', 'Manga Entertainment']"
558,40397,['Funimation']
559,24277,['Discotek Media']
560,23321,"['Funimation', 'Sentai Filmworks']"
561,31772,['VIZ Media']
562,33502,['Funimation']
563,3167,[]
564,317,['Sony Pictures Entertainment']
565,22265,['Funimation']
566,21877,['Netflix']
567,71,"['ADV Films', 'Funimation']"
568,187,['Funimation']
569,18671,['Sentai Filmworks']
570,32542,['Sentai Filmworks']
571,12431,['Sentai Filmworks']
572,38349,[]
573,265,['Discotek Media']
574,5530,"['NIS America, Inc.']"
575,39575,[]
576,226,['ADV Films']
577,10049,['VIZ Media']
578,11111,['Sentai Filmworks']
579,37141,['Aniplex of America']
580,15,"['VIZ Media', 'Sentai Filmworks']"
581,28957,[]
582,10012,[]
583,17389,['Funimation']
584,24765,['Sentai Filmworks']
585,28249,['Funimation']
586,6421,"['Funimation', 'Aniplex of America']"
587,30370,[]
588,22199,['Sentai Filmworks']
589,10218,"['VIZ Media', 'NYAV Post']"
590,8408,['Aniplex of America']
591,15059,[]
592,6007,['Funimation']
593,12403,"['NIS America, Inc.']"
594,2952,[]
595,26243,['Funimation']
596,440,"['Nozomi Entertainment', 'Central Park Media']"
597,31764,"['Funimation', 'Crunchyroll']"
598,5941,[]
599,40174,['Funimation']
600,543,"['Discotek Media', 'Urban Vision']"
601,2104,['Funimation']
602,10029,['GKIDS']
603,721,"['ADV Films', 'Sentai Filmworks']"
604,6347,['Funimation']
605,9941,['VIZ Media']
606,11123,['Funimation']
607,34134,['VIZ Media']
608,210,['VIZ Media']
609,49909,[]
610,14227,"['NIS America, Inc.']"
611,6862,"['Bandai Entertainment', 'Sentai Filmworks']"
612,15451,['Funimation']
613,323,"['Funimation', 'Geneon Entertainment USA']"
614,39570,['Netflix']
615,322,['Geneon Entertainment USA']
616,21339,['Funimation']
617,34914,"['Funimation', 'Crunchyroll']"
618,24687,['Aniplex of America']
619,528,"['4Kids Entertainment', 'Warner Bros. Pictures']"
620,31715,['Aniplex of America']
621,36038,['Funimation']
622,1142,"['VIZ Media', 'Discotek Media']"
623,35363,['Funimation']
624,41433,['Funimation']
625,44931,['Crunchyroll']
626,8675,['Sentai Filmworks']
627,37078,[]
628,4789,['Sentai Filmworks']
629,135,['VIZ Media']
630,150,['Sony Pictures Entertainment']
631,22,"['Funimation', 'VIZ Media']"
632,31953,"['Funimation', 'Crunchyroll']"
633,44055,[]
634,38790,['Funimation']
635,18617,['Sentai Filmworks']
636,8937,['Funimation']
637,1571,['Funimation']
638,4106,['Funimation']
639,10620,['Funimation']
640,2593,['Aniplex of America']
641,24997,"['NIS America, Inc.']"
642,10161,['Sentai Filmworks']
643,18661,[]
644,627,[]
645,20847,['Sentai Filmworks']
646,4814,['Nozomi Entertainment']
647,33988,"['Funimation', 'Crunchyroll']"
648,35972,['Funimation']
649,30296,['Sentai Filmworks']
650,33253,['Sentai Filmworks']
651,270,"['Funimation', 'Geneon Entertainment USA']"
652,38659,['Funimation']
653,31174,['VIZ Media']
654,19489,[]
655,2685,['Funimation']
656,12031,['Funimation']
657,532,"['VIZ Media', 'Geneon Entertainment USA']"
658,1254,"['ADV Films', 'DiC Entertainment', 'Flatiron Film Company']"
659,17729,['Sentai Filmworks']
660,42351,['Funimation']
661,18753,[]
662,32366,[]
663,1365,['Funimation']
664,468,"['Funimation', 'Bandai Entertainment', 'DreamWorks']"
665,9926,['Funimation']
666,2787,['Funimation']
667,93,"['Bandai Entertainment', 'NYAV Post']"
668,22147,['Sentai Filmworks']
669,21659,['Aniplex of America']
670,40615,['Funimation']
671,47194,[]
672,22101,['Sentai Filmworks']
673,13535,['Funimation']
674,5231,[]
675,10793,['Funimation']
676,23277,['Aniplex of America']
677,5028,[]
678,31051,[]
679,34561,[]
680,16904,['VIZ Media']
681,20785,['Aniplex of America']
682,1594,['Sentai Filmworks']
683,5678,['Sentai Filmworks']
684,3572,['Nozomi Entertainment']
685,32268,['Aniplex of America']
686,35677,"['Eleven Arts', 'Ponycan USA']"
687,9062,['Sentai Filmworks']
688,228,['Funimation']
689,430,['Funimation']
690,10495,"['NIS America, Inc.']"
691,30279,[]
692,4472,"['Funimation', 'Bandai Entertainment']"
693,37349,['Funimation']
694,34537,['GKIDS']
695,8142,['Sentai Filmworks']
696,31098,['Sentai Filmworks']
697,24703,['Funimation']
698,7465,"['NYAV Post', 'Pied Piper']"
699,39808,['Sentai Filmworks']
700,558,[]
701,20031,['Funimation']
702,27991,['VIZ Media']
703,50273,[]
704,11737,['Aniplex of America']
705,37976,['Funimation']
706,15315,['Sentai Filmworks']
707,7647,"['NIS America, Inc.']"
708,5781,['Funimation']
709,14467,['VIZ Media']
710,6171,['Discotek Media']
711,12893,"['NIS America, Inc.']"
712,10790,['Funimation']
713,5365,[]
714,27663,[]
715,1842,[]
716,21185,[]
717,874,"['Saban Entertainment', 'Flatiron Film Company']"
718,30694,['Funimation']
719,6336,"['Nozomi Entertainment', 'Bandai Entertainment', 'NYAV Post']"
720,40540,['Aniplex of America']
721,1566,"['Bandai Entertainment', 'Manga Entertainment']"
722,41120,['Aniplex of America']
723,9734,['Sentai Filmworks']
724,19775,"['Funimation', 'Sentai Filmworks']"
725,38145,['Funimation']
726,41587,['Funimation']
727,36904,[]
728,22777,['Funimation']
729,24405,['Sentai Filmworks']
730,40571,['Funimation']
731,50612,['Crunchyroll']
732,355,"['Funimation', 'Geneon Entertainment USA']"
733,267,"['Funimation', 'Geneon Entertainment USA']"
734,48849,['Funimation']
735,3228,[]
736,12029,['Funimation']
737,97,"['Funimation', 'Geneon Entertainment USA']"
738,40010,[]
739,9074,"['NIS America, Inc.']"
740,7592,['VIZ Media']
741,14807,['Aniplex of America']
742,1562,"['ADV Films', 'Funimation']"
743,3470,['Sentai Filmworks']
744,481,"['4Kids Entertainment', 'Flatiron Film Company']"
745,37515,['Sentai Filmworks']
746,38731,[]
747,36286,[]
748,2994,['VIZ Media']
749,14289,['Sentai Filmworks']
750,40907,[]
751,90,['Bandai Entertainment']
752,18245,[]
753,43439,['Funimation']
754,570,"['Bandai Entertainment', 'Discotek Media']"
755,38555,['Crunchyroll']
756,8247,['VIZ Media']
757,3701,['Discotek Media']
758,996,['VIZ Media']
759,60,"['ADV Films', 'Funimation']"
760,7655,[]
761,37956,['Sentai Filmworks']
762,400,"['Funimation', 'Bandai Entertainment']"
763,857,"['ADV Films', 'Funimation']"
764,38414,[]
765,3226,[]
766,40454,['Sentai Filmworks']
767,21327,['Sentai Filmworks']
768,1840,['Sentai Filmworks']
769,740,"['ADV Films', 'VIZ Media', 'DiC Entertainment']"
770,33731,[]
771,1281,"['ADV Films', 'Discotek Media']"
772,9130,['Discotek Media']
773,41488,[]
774,32370,['Funimation']
775,11319,['Sentai Filmworks']
776,18119,['Aniplex of America']
777,114,"['ADV Films', 'Sentai Filmworks', 'Discotek Media']"
778,20651,[]
779,3092,['Nozomi Entertainment']
780,36470,['Sentai Filmworks']
781,37985,[]
782,8086,['Funimation']
783,10119,[]
784,4087,['Funimation']
785,31592,['The Pokemon Company International']
786,28755,['VIZ Media']
787,153,"['Media Blasters', 'Discotek Media']"
788,15117,['Sentai Filmworks']
789,2164,['Maiden Japan']
790,16011,['Funimation']
791,25517,[]
792,6573,['Funimation']
793,11617,['Funimation']
794,27633,['Sentai Filmworks']
795,401,"['ADV Films', 'Aniplex of America']"
796,14131,['Sentai Filmworks']
797,25015,['Sentai Filmworks']
798,23281,['Funimation']
799,22097,[]
800,32828,[]
801,35240,['Sentai Filmworks']
802,8407,['Funimation']
803,6945,[]
804,122,['VIZ Media']
805,31580,['Sentai Filmworks']
806,40496,['Aniplex of America']
807,50360,[]
808,3297,['Nozomi Entertainment']
809,4725,['Funimation']
810,33071,['Funimation']
811,25161,['Funimation']
812,31798,"['Aniplex of America', 'Crunchyroll']"
813,8740,[]
814,17909,"['NIS America, Inc.']"
815,985,['Funimation']
816,42429,[]
817,25303,[]
818,16524,['VIZ Media']
819,38422,['Netflix']
820,81,['Bandai Entertainment']
821,48483,['Funimation']
822,37984,[]
823,59,"['Funimation', 'Geneon Entertainment USA']"
824,16916,[]
825,13663,['Sentai Filmworks']
826,29854,['Sentai Filmworks']
827,22729,['Aniplex of America']
828,15323,[]
829,29787,['Sentai Filmworks']
830,949,"['Discotek Media', 'Manga Entertainment', 'Bandai Visual USA']"
831,4654,['Funimation']
832,25183,['Funimation']
833,1364,['Funimation']
834,24893,"['Funimation', 'Sentai Filmworks']"
835,27787,['Aniplex of America']
836,42361,[]
837,2154,['Sony Pictures Entertainment']
838,43609,[]
839,12291,['Sentai Filmworks']
840,10357,['Sentai Filmworks']
841,4835,['VIZ Media']
842,967,"['Discotek Media', 'Manga Entertainment']"
843,44087,[]
844,33506,['Aniplex of America']
845,36990,['Sentai Filmworks']
846,40682,['Funimation']
847,527,"['VIZ Media', '4Kids Entertainment']"
848,33191,[]
849,15051,"['NIS America, Inc.']"
850,37033,['Aniplex of America']
851,37514,['Sentai Filmworks']
852,37497,['Sentai Filmworks']
853,44940,[]
854,40620,['Funimation']
855,42916,['Aniplex of America']
856,40784,[]
857,6372,['Funimation']
858,18139,['Sentai Filmworks']
859,26213,['Funimation']
860,781,['Funimation']
861,534,"['Funimation', 'Central Park Media', 'Enoki Films']"
862,451,['VIZ Media']
863,11013,['Sentai Filmworks']
864,2963,[]
865,37475,[]
866,658,[]
867,10588,['Sentai Filmworks']
868,16934,['Sentai Filmworks']
869,11433,['Sentai Filmworks']
870,6773,['Funimation']
871,5460,[]
872,34100,['Sentai Filmworks']
873,8841,['Funimation']
874,47257,['Funimation']
875,11739,[]
876,40215,[]
877,4672,['Manga Entertainment']
878,18507,"['Funimation', 'Discotek Media', 'Crunchyroll']"
879,10067,[]
880,11113,"['NIS America, Inc.']"
881,535,"['Funimation', 'Central Park Media', 'Enoki Films']"
882,32979,['Sentai Filmworks']
883,7193,[]
884,80,"['Nozomi Entertainment', 'Bandai Entertainment']"
885,6864,[]
886,905,['Funimation']
887,1686,['VIZ Media']
888,26,"['Funimation', 'Geneon Entertainment USA']"
889,240,['Media Blasters']
890,6637,['Funimation']
891,182,"['Funimation', 'Bandai Entertainment']"
892,38472,['Funimation']
893,145,['Nozomi Entertainment']
894,47790,[]
895,36704,['Funimation']
